URG;Escola;Descricao;2022;2023;2024;2025;Total
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;ENCAMINHAMENTOS;0;31;0;26;57
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;EXAMES;0;27;0;5;32
URG I-CENTRO;E M PROF OSIRES NEVES;ALUNOS CADASTRADOS;752;648;625;639;2664
URG I-CENTRO;E M PROF OSIRES NEVES;ALUNOS ATENDIDOS;0;499;502;536;1537
URG I-CENTRO;E M PROF OSIRES NEVES;AVAL. PROFESSORES;0;440;480;517;1437
URG I-CENTRO;E M PROF OSIRES NEVES;AVAL. PSCÓLOGOS;0;438;7;1;446
URG I-CENTRO;E M PROF OSIRES NEVES;AVAL. ASSIST. SOCIAIS;0;436;460;425;1321
URG I-CENTRO;E M PROF OSIRES NEVES;AVAL. ENFERMAGEM;0;437;460;436;1333
URG I-CENTRO;E M PROF OSIRES NEVES;AVAL. MÉDICAS;0;182;172;116;470
URG I-CENTRO;E M PROF OSIRES NEVES;ALUNOS VACINADOS;0;117;115;59;291
URG I-CENTRO;E M PROF OSIRES NEVES;VACINAS APLICADAS;0;141;152;80;373
URG I-CENTRO;E M PROF OSIRES NEVES;ENCAMINHAMENTOS;0;50;60;90;200
URG I-CENTRO;E M PROF OSIRES NEVES;EXAMES;0;44;62;72;178
URG I-CENTRO;E M PROF PAULO FREIRE;ALUNOS CADASTRADOS;112;116;123;155;506
URG I-CENTRO;E M PROF PAULO FREIRE;ALUNOS ATENDIDOS;48;97;69;147;361
URG I-CENTRO;E M PROF PAULO FREIRE;AVAL. PROFESSORES;38;79;68;146;331
URG I-CENTRO;E M PROF PAULO FREIRE;AVAL. PSCÓLOGOS;42;79;0;0;121
URG I-CENTRO;E M PROF PAULO FREIRE;AVAL. ASSIST. SOCIAIS;43;81;68;119;311
URG I-CENTRO;E M PROF PAULO FREIRE;AVAL. ENFERMAGEM;46;80;67;119;312
URG I-CENTRO;E M PROF PAULO FREIRE;AVAL. MÉDICAS;19;48;36;51;154
URG I-CENTRO;E M PROF PAULO FREIRE;ALUNOS VACINADOS;11;24;21;30;86
URG I-CENTRO;E M PROF PAULO FREIRE;VACINAS APLICADAS;15;29;24;37;105
URG I-CENTRO;E M PROF PAULO FREIRE;ENCAMINHAMENTOS;7;0;6;40;53
URG I-CENTRO;E M PROF PAULO FREIRE;EXAMES;2;0;8;18;28
URG I-CENTRO;E M PROF RUY DE QUEIROZ;ALUNOS CADASTRADOS;237;228;185;201;851
URG I-CENTRO;E M PROF RUY DE QUEIROZ;ALUNOS ATENDIDOS;0;209;148;200;557
URG I-CENTRO;E M PROF RUY DE QUEIROZ;AVAL. PROFESSORES;0;207;141;198;546
URG I-CENTRO;E M PROF RUY DE QUEIROZ;AVAL. PSCÓLOGOS;0;179;4;100;283
URG I-CENTRO;E M PROF RUY DE QUEIROZ;AVAL. ASSIST. SOCIAIS;0;183;135;142;460
URG I-CENTRO;E M PROF RUY DE QUEIROZ;AVAL. ENFERMAGEM;0;170;143;146;459
URG I-CENTRO;E M PROF RUY DE QUEIROZ;AVAL. MÉDICAS;0;120;72;55;247
URG I-CENTRO;E M PROF RUY DE QUEIROZ;ALUNOS VACINADOS;0;60;46;33;139
URG I-CENTRO;E M PROF RUY DE QUEIROZ;VACINAS APLICADAS;0;71;55;39;165
URG I-CENTRO;E M PROF RUY DE QUEIROZ;ENCAMINHAMENTOS;0;34;19;29;82
URG I-CENTRO;E M PROF RUY DE QUEIROZ;EXAMES;0;31;20;17;68
URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;ALUNOS CADASTRADOS;39;47;101;88;275
URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;ALUNOS ATENDIDOS;0;33;57;39;129
URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;AVAL. PROFESSORES;0;32;52;36;120
URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;AVAL. PSCÓLOGOS;0;31;37;13;81
URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;AVAL. ASSIST. SOCIAIS;0;32;47;36;115
URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;AVAL. ENFERMAGEM;0;29;52;38;119
URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;AVAL. MÉDICAS;0;24;51;37;112
URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;ALUNOS VACINADOS;0;9;19;21;49
URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;VACINAS APLICADAS;0;10;24;35;69
URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;ENCAMINHAMENTOS;0;6;17;27;50
URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;EXAMES;0;2;15;9;26
URG I-CENTRO;EMEI JESUS BOM PASTOR;ALUNOS CADASTRADOS;106;94;99;97;396
URG I-CENTRO;EMEI JESUS BOM PASTOR;ALUNOS ATENDIDOS;66;30;58;68;222
URG I-CENTRO;EMEI JESUS BOM PASTOR;AVAL. PROFESSORES;49;29;56;68;202
URG I-CENTRO;EMEI JESUS BOM PASTOR;AVAL. PSCÓLOGOS;54;29;5;54;142
URG I-CENTRO;EMEI JESUS BOM PASTOR;AVAL. ASSIST. SOCIAIS;51;29;52;57;189
URG I-CENTRO;EMEI JESUS BOM PASTOR;AVAL. ENFERMAGEM;53;29;53;56;191
URG I-CENTRO;EMEI JESUS BOM PASTOR;AVAL. MÉDICAS;48;29;44;58;179
URG I-CENTRO;EMEI JESUS BOM PASTOR;ALUNOS VACINADOS;37;20;21;29;107
URG I-CENTRO;EMEI JESUS BOM PASTOR;VACINAS APLICADAS;46;21;29;43;139
URG I-CENTRO;EMEI JESUS BOM PASTOR;ENCAMINHAMENTOS;0;4;21;34;59
URG I-CENTRO;EMEI JESUS BOM PASTOR;EXAMES;0;5;16;18;39
URG I-CENTRO;EMEI SAO BENEDITO;ALUNOS CADASTRADOS;195;188;170;169;722
URG I-CENTRO;EMEI SAO BENEDITO;ALUNOS ATENDIDOS;0;179;72;90;341
URG I-CENTRO;EMEI SAO BENEDITO;AVAL. PROFESSORES;0;178;66;81;325
URG I-CENTRO;EMEI SAO BENEDITO;AVAL. PSCÓLOGOS;0;124;0;12;136
URG I-CENTRO;EMEI SAO BENEDITO;AVAL. ASSIST. SOCIAIS;0;130;56;56;242
URG I-CENTRO;EMEI SAO BENEDITO;AVAL. ENFERMAGEM;0;87;67;69;223
URG I-CENTRO;EMEI SAO BENEDITO;AVAL. MÉDICAS;0;52;52;68;172
URG I-CENTRO;EMEI SAO BENEDITO;ALUNOS VACINADOS;0;12;37;44;93
URG I-CENTRO;EMEI SAO BENEDITO;VACINAS APLICADAS;0;14;49;70;133
URG I-CENTRO;EMEI SAO BENEDITO;ENCAMINHAMENTOS;0;0;11;50;61
URG I-CENTRO;EMEI SAO BENEDITO;EXAMES;0;4;12;34;50
URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;ALUNOS CADASTRADOS;0;0;276;255;531
URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;ALUNOS ATENDIDOS;0;0;255;217;472
URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;AVAL. PROFESSORES;0;0;248;211;459
URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;AVAL. PSCÓLOGOS;0;0;82;0;82
URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;AVAL. ASSIST. SOCIAIS;0;0;228;190;418
URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;AVAL. ENFERMAGEM;0;0;240;192;432
URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;AVAL. MÉDICAS;0;0;103;56;159
URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;ALUNOS VACINADOS;0;0;26;12;38
URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;VACINAS APLICADAS;0;0;27;20;47
URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;ENCAMINHAMENTOS;0;0;42;24;66
URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;EXAMES;0;0;33;9;42
URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;ALUNOS CADASTRADOS;642;625;586;589;2442
URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;ALUNOS ATENDIDOS;0;456;499;548;1503
URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;AVAL. PROFESSORES;0;404;371;450;1225
URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;AVAL. PSCÓLOGOS;0;397;422;57;876
URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;AVAL. ASSIST. SOCIAIS;0;400;397;458;1255
URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;AVAL. ENFERMAGEM;0;418;429;419;1266
URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;AVAL. MÉDICAS;0;187;199;167;553
URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;ALUNOS VACINADOS;0;141;99;38;278
URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;VACINAS APLICADAS;0;148;154;44;346
URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;ENCAMINHAMENTOS;0;54;61;86;201
URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;EXAMES;0;42;54;52;148
URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;ALUNOS CADASTRADOS;0;84;77;77;238
URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;ALUNOS ATENDIDOS;0;38;76;39;153
URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;AVAL. PROFESSORES;0;34;75;37;146
URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;AVAL. PSCÓLOGOS;0;35;32;0;67
URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;AVAL. ASSIST. SOCIAIS;0;35;31;35;101
URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;AVAL. ENFERMAGEM;0;35;31;38;104
URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;AVAL. MÉDICAS;0;31;24;31;86
URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;ALUNOS VACINADOS;0;11;22;18;51
URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;VACINAS APLICADAS;0;16;32;24;72
URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;ENCAMINHAMENTOS;0;2;5;17;24
URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;EXAMES;0;7;2;14;23
URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;ALUNOS CADASTRADOS;0;0;0;211;211
URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;ALUNOS ATENDIDOS;0;0;0;135;135
URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;AVAL. PROFESSORES;0;0;0;106;106
URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;AVAL. PSCÓLOGOS;0;0;0;0;0
URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;AVAL. ASSIST. SOCIAIS;0;0;0;81;81
URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;AVAL. ENFERMAGEM;0;0;0;118;118
URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;AVAL. MÉDICAS;0;0;0;110;110
URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;ALUNOS VACINADOS;0;0;0;58;58
URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;VACINAS APLICADAS;0;0;0;88;88
URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;ENCAMINHAMENTOS;0;0;0;21;21
URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;EXAMES;0;0;0;25;25
URG III-COMENDADOR SOARES;E M ARMANDO PIRES;ALUNOS CADASTRADOS;485;480;473;521;1959
URG III-COMENDADOR SOARES;E M ARMANDO PIRES;ALUNOS ATENDIDOS;0;387;430;426;1243
URG III-COMENDADOR SOARES;E M ARMANDO PIRES;AVAL. PROFESSORES;0;368;324;386;1078
URG III-COMENDADOR SOARES;E M ARMANDO PIRES;AVAL. PSCÓLOGOS;0;348;368;97;813
URG III-COMENDADOR SOARES;E M ARMANDO PIRES;AVAL. ASSIST. SOCIAIS;0;354;362;350;1066
URG III-COMENDADOR SOARES;E M ARMANDO PIRES;AVAL. ENFERMAGEM;0;365;378;377;1120
URG III-COMENDADOR SOARES;E M ARMANDO PIRES;AVAL. MÉDICAS;0;200;247;201;648
URG III-COMENDADOR SOARES;E M ARMANDO PIRES;ALUNOS VACINADOS;0;154;169;48;371
URG III-COMENDADOR SOARES;E M ARMANDO PIRES;VACINAS APLICADAS;0;173;262;58;493
URG III-COMENDADOR SOARES;E M ARMANDO PIRES;ENCAMINHAMENTOS;0;52;74;72;198
URG III-COMENDADOR SOARES;E M ARMANDO PIRES;EXAMES;0;56;81;41;178
URG III-COMENDADOR SOARES;E M COMPACTOR;ALUNOS CADASTRADOS;287;291;277;267;1122
URG III-COMENDADOR SOARES;E M COMPACTOR;ALUNOS ATENDIDOS;0;240;225;230;695
URG III-COMENDADOR SOARES;E M COMPACTOR;AVAL. PROFESSORES;0;200;205;208;613
URG III-COMENDADOR SOARES;E M COMPACTOR;AVAL. PSCÓLOGOS;0;216;201;133;550
URG III-COMENDADOR SOARES;E M COMPACTOR;AVAL. ASSIST. SOCIAIS;0;217;192;198;607
URG III-COMENDADOR SOARES;E M COMPACTOR;AVAL. ENFERMAGEM;0;227;215;215;657
URG III-COMENDADOR SOARES;E M COMPACTOR;AVAL. MÉDICAS;0;162;158;153;473
URG III-COMENDADOR SOARES;E M COMPACTOR;ALUNOS VACINADOS;0;106;98;63;267
URG III-COMENDADOR SOARES;E M COMPACTOR;VACINAS APLICADAS;0;118;161;85;364
URG III-COMENDADOR SOARES;E M COMPACTOR;ENCAMINHAMENTOS;0;78;52;64;194
URG III-COMENDADOR SOARES;E M COMPACTOR;EXAMES;0;68;38;32;138
URG III-COMENDADOR SOARES;E M DOM ADRIANO HIPOLITO;ALUNOS CADASTRADOS;457;408;416;443;1724
URG III-COMENDADOR SOARES;E M DOM ADRIANO HIPOLITO;ALUNOS ATENDIDOS;0;358;405;287;1050
URG III-COMENDADOR SOARES;E M DOM ADRIANO HIPOLITO;AVAL. PROFESSORES;0;339;356;237;932
URG III-COMENDADOR SOARES;E M DOM ADRIANO HIPOLITO;AVAL. PSCÓLOGOS;0;316;306;21;643
URG III-COMENDADOR SOARES;E M DOM ADRIANO HIPOLITO;AVAL. ASSIST. SOCIAIS;0;301;303;236;840
URG III-COMENDADOR SOARES;E M DOM ADRIANO HIPOLITO;AVAL. ENFERMAGEM;0;332;310;253;895
URG III-COMENDADOR SOARES;E M DOM ADRIANO HIPOLITO;AVAL. MÉDICAS;0;240;144;154;538
URG III-COMENDADOR SOARES;E M DOM ADRIANO HIPOLITO;ALUNOS VACINADOS;0;175;111;47;333
URG III-COMENDADOR SOARES;E M DOM ADRIANO HIPOLITO;VACINAS APLICADAS;0;184;218;53;455
URG III-COMENDADOR SOARES;E M DOM ADRIANO HIPOLITO;ENCAMINHAMENTOS;0;26;26;59;111
URG III-COMENDADOR SOARES;E M DOM ADRIANO HIPOLITO;EXAMES;0;33;31;52;116
URG III-COMENDADOR SOARES;E M IVONETE DOS SANTOS ALVES;ALUNOS CADASTRADOS;463;486;476;460;1885
URG III-COMENDADOR SOARES;E M IVONETE DOS SANTOS ALVES;ALUNOS ATENDIDOS;0;362;414;379;1155
URG III-COMENDADOR SOARES;E M IVONETE DOS SANTOS ALVES;AVAL. PROFESSORES;0;320;361;334;1015
URG III-COMENDADOR SOARES;E M IVONETE DOS SANTOS ALVES;AVAL. PSCÓLOGOS;0;299;349;189;837
URG III-COMENDADOR SOARES;E M IVONETE DOS SANTOS ALVES;AVAL. ASSIST. SOCIAIS;0;319;324;309;952
URG III-COMENDADOR SOARES;E M IVONETE DOS SANTOS ALVES;AVAL. ENFERMAGEM;0;337;365;343;1045
URG III-COMENDADOR SOARES;E M IVONETE DOS SANTOS ALVES;AVAL. MÉDICAS;0;262;244;205;711
URG III-COMENDADOR SOARES;E M IVONETE DOS SANTOS ALVES;ALUNOS VACINADOS;0;167;175;83;425
URG III-COMENDADOR SOARES;E M IVONETE DOS SANTOS ALVES;VACINAS APLICADAS;0;173;312;102;587
URG III-COMENDADOR SOARES;E M IVONETE DOS SANTOS ALVES;ENCAMINHAMENTOS;0;141;83;84;308
URG III-COMENDADOR SOARES;E M IVONETE DOS SANTOS ALVES;EXAMES;0;100;107;69;276
URG III-COMENDADOR SOARES;E M JOSE RIBEIRO GUIMARAES;ALUNOS CADASTRADOS;498;544;554;592;2188
URG III-COMENDADOR SOARES;E M JOSE RIBEIRO GUIMARAES;ALUNOS ATENDIDOS;0;433;526;407;1366
URG III-COMENDADOR SOARES;E M JOSE RIBEIRO GUIMARAES;AVAL. PROFESSORES;0;390;505;305;1200
URG III-COMENDADOR SOARES;E M JOSE RIBEIRO GUIMARAES;AVAL. PSCÓLOGOS;0;368;442;68;878
URG III-COMENDADOR SOARES;E M JOSE RIBEIRO GUIMARAES;AVAL. ASSIST. SOCIAIS;0;366;435;321;1122
URG III-COMENDADOR SOARES;E M JOSE RIBEIRO GUIMARAES;AVAL. ENFERMAGEM;0;394;469;336;1199
URG III-COMENDADOR SOARES;E M JOSE RIBEIRO GUIMARAES;AVAL. MÉDICAS;0;225;229;183;637
URG III-COMENDADOR SOARES;E M JOSE RIBEIRO GUIMARAES;ALUNOS VACINADOS;0;138;176;60;374
URG III-COMENDADOR SOARES;E M JOSE RIBEIRO GUIMARAES;VACINAS APLICADAS;0;155;349;79;583
URG III-COMENDADOR SOARES;E M JOSE RIBEIRO GUIMARAES;ENCAMINHAMENTOS;0;73;106;32;211
URG III-COMENDADOR SOARES;E M JOSE RIBEIRO GUIMARAES;EXAMES;0;57;82;40;179
URG III-COMENDADOR SOARES;E M MARINETE CAVALCANTE DE OLIVEIRA;ALUNOS CADASTRADOS;438;473;435;411;1757
URG III-COMENDADOR SOARES;E M MARINETE CAVALCANTE DE OLIVEIRA;ALUNOS ATENDIDOS;0;410;351;345;1106
URG III-COMENDADOR SOARES;E M MARINETE CAVALCANTE DE OLIVEIRA;AVAL. PROFESSORES;0;377;328;258;963
URG III-COMENDADOR SOARES;E M MARINETE CAVALCANTE DE OLIVEIRA;AVAL. PSCÓLOGOS;0;365;281;84;730
URG III-COMENDADOR SOARES;E M MARINETE CAVALCANTE DE OLIVEIRA;AVAL. ASSIST. SOCIAIS;0;366;320;285;971
URG III-COMENDADOR SOARES;E M MARINETE CAVALCANTE DE OLIVEIRA;AVAL. ENFERMAGEM;0;372;326;301;999
URG III-COMENDADOR SOARES;E M MARINETE CAVALCANTE DE OLIVEIRA;AVAL. MÉDICAS;0;248;213;180;641
URG III-COMENDADOR SOARES;E M MARINETE CAVALCANTE DE OLIVEIRA;ALUNOS VACINADOS;0;179;177;58;414
URG III-COMENDADOR SOARES;E M MARINETE CAVALCANTE DE OLIVEIRA;VACINAS APLICADAS;0;191;339;70;600
URG III-COMENDADOR SOARES;E M MARINETE CAVALCANTE DE OLIVEIRA;ENCAMINHAMENTOS;0;131;39;40;210
URG III-COMENDADOR SOARES;E M MARINETE CAVALCANTE DE OLIVEIRA;EXAMES;0;93;52;50;195
URG III-COMENDADOR SOARES;E M NICANOR GONCALVES PEREIRA;ALUNOS CADASTRADOS;501;500;402;391;1794
URG III-COMENDADOR SOARES;E M NICANOR GONCALVES PEREIRA;ALUNOS ATENDIDOS;0;384;363;345;1092
URG III-COMENDADOR SOARES;E M NICANOR GONCALVES PEREIRA;AVAL. PROFESSORES;0;354;341;324;1019
URG III-COMENDADOR SOARES;E M NICANOR GONCALVES PEREIRA;AVAL. PSCÓLOGOS;0;347;281;207;835
URG III-COMENDADOR SOARES;E M NICANOR GONCALVES PEREIRA;AVAL. ASSIST. SOCIAIS;0;350;289;292;931
URG III-COMENDADOR SOARES;E M NICANOR GONCALVES PEREIRA;AVAL. ENFERMAGEM;0;365;290;302;957
URG III-COMENDADOR SOARES;E M NICANOR GONCALVES PEREIRA;AVAL. MÉDICAS;0;181;101;129;411
URG III-COMENDADOR SOARES;E M NICANOR GONCALVES PEREIRA;ALUNOS VACINADOS;0;138;76;57;271
URG III-COMENDADOR SOARES;E M NICANOR GONCALVES PEREIRA;VACINAS APLICADAS;0;141;168;69;378
URG III-COMENDADOR SOARES;E M NICANOR GONCALVES PEREIRA;ENCAMINHAMENTOS;0;62;15;67;144
URG III-COMENDADOR SOARES;E M NICANOR GONCALVES PEREIRA;EXAMES;0;62;25;32;119
URG III-COMENDADOR SOARES;E M PROF IRAMAR DA COSTA LIMA MIGUEL;ALUNOS CADASTRADOS;949;840;903;905;3597
URG III-COMENDADOR SOARES;E M PROF IRAMAR DA COSTA LIMA MIGUEL;ALUNOS ATENDIDOS;0;681;747;742;2170
URG III-COMENDADOR SOARES;E M PROF IRAMAR DA COSTA LIMA MIGUEL;AVAL. PROFESSORES;0;637;559;567;1763
URG III-COMENDADOR SOARES;E M PROF IRAMAR DA COSTA LIMA MIGUEL;AVAL. PSCÓLOGOS;0;578;637;25;1240
URG III-COMENDADOR SOARES;E M PROF IRAMAR DA COSTA LIMA MIGUEL;AVAL. ASSIST. SOCIAIS;0;585;600;631;1816
URG III-COMENDADOR SOARES;E M PROF IRAMAR DA COSTA LIMA MIGUEL;AVAL. ENFERMAGEM;0;602;646;668;1916
URG III-COMENDADOR SOARES;E M PROF IRAMAR DA COSTA LIMA MIGUEL;AVAL. MÉDICAS;0;250;227;224;701
URG III-COMENDADOR SOARES;E M PROF IRAMAR DA COSTA LIMA MIGUEL;ALUNOS VACINADOS;0;157;167;67;391
URG III-COMENDADOR SOARES;E M PROF IRAMAR DA COSTA LIMA MIGUEL;VACINAS APLICADAS;0;172;364;85;621
URG III-COMENDADOR SOARES;E M PROF IRAMAR DA COSTA LIMA MIGUEL;ENCAMINHAMENTOS;0;137;96;101;334
URG III-COMENDADOR SOARES;E M PROF IRAMAR DA COSTA LIMA MIGUEL;EXAMES;0;101;104;70;275
URG III-COMENDADOR SOARES;E M SOUZA E MELLO;ALUNOS CADASTRADOS;705;478;478;488;2149
URG III-COMENDADOR SOARES;E M SOUZA E MELLO;ALUNOS ATENDIDOS;0;419;388;397;1204
URG III-COMENDADOR SOARES;E M SOUZA E MELLO;AVAL. PROFESSORES;0;368;332;375;1075
URG III-COMENDADOR SOARES;E M SOUZA E MELLO;AVAL. PSCÓLOGOS;0;375;299;101;775
URG III-COMENDADOR SOARES;E M SOUZA E MELLO;AVAL. ASSIST. SOCIAIS;0;375;324;349;1048
URG III-COMENDADOR SOARES;E M SOUZA E MELLO;AVAL. ENFERMAGEM;0;391;359;362;1112
URG III-COMENDADOR SOARES;E M SOUZA E MELLO;AVAL. MÉDICAS;0;303;223;237;763
URG III-COMENDADOR SOARES;E M SOUZA E MELLO;ALUNOS VACINADOS;0;146;164;97;407
URG III-COMENDADOR SOARES;E M SOUZA E MELLO;VACINAS APLICADAS;0;149;237;130;516
URG III-COMENDADOR SOARES;E M SOUZA E MELLO;ENCAMINHAMENTOS;0;102;95;54;251
URG III-COMENDADOR SOARES;E M SOUZA E MELLO;EXAMES;0;74;49;75;198
URG III-COMENDADOR SOARES;E.M PROF. MARA BUY FABRI;ALUNOS CADASTRADOS;0;0;0;0;0
URG III-COMENDADOR SOARES;E.M PROF. MARA BUY FABRI;ALUNOS ATENDIDOS;0;0;0;0;0
URG III-COMENDADOR SOARES;E.M PROF. MARA BUY FABRI;AVAL. PROFESSORES;0;0;0;0;0
URG III-COMENDADOR SOARES;E.M PROF. MARA BUY FABRI;AVAL. PSCÓLOGOS;0;0;0;0;0
URG III-COMENDADOR SOARES;E.M PROF. MARA BUY FABRI;AVAL. ASSIST. SOCIAIS;0;0;0;0;0
URG III-COMENDADOR SOARES;E.M PROF. MARA BUY FABRI;AVAL. ENFERMAGEM;0;0;0;0;0
URG III-COMENDADOR SOARES;E.M PROF. MARA BUY FABRI;AVAL. MÉDICAS;0;0;0;0;0
URG III-COMENDADOR SOARES;E.M PROF. MARA BUY FABRI;ALUNOS VACINADOS;0;0;0;0;0
URG III-COMENDADOR SOARES;E.M PROF. MARA BUY FABRI;VACINAS APLICADAS;0;0;0;0;0
URG III-COMENDADOR SOARES;E.M PROF. MARA BUY FABRI;ENCAMINHAMENTOS;0;0;0;0;0
URG III-COMENDADOR SOARES;E.M PROF. MARA BUY FABRI;EXAMES;0;0;0;0;0
URG III-COMENDADOR SOARES;EMEI RODRIGO TWARDOWSKY ALVES;ALUNOS CADASTRADOS;151;147;126;139;563
URG III-COMENDADOR SOARES;EMEI RODRIGO TWARDOWSKY ALVES;ALUNOS ATENDIDOS;0;93;108;96;297
URG III-COMENDADOR SOARES;EMEI RODRIGO TWARDOWSKY ALVES;AVAL. PROFESSORES;0;87;100;89;276
URG III-COMENDADOR SOARES;EMEI RODRIGO TWARDOWSKY ALVES;AVAL. PSCÓLOGOS;0;85;86;15;186
URG III-COMENDADOR SOARES;EMEI RODRIGO TWARDOWSKY ALVES;AVAL. ASSIST. SOCIAIS;0;85;84;81;250
URG III-COMENDADOR SOARES;EMEI RODRIGO TWARDOWSKY ALVES;AVAL. ENFERMAGEM;0;81;86;92;259
URG III-COMENDADOR SOARES;EMEI RODRIGO TWARDOWSKY ALVES;AVAL. MÉDICAS;0;67;70;65;202
URG III-COMENDADOR SOARES;EMEI RODRIGO TWARDOWSKY ALVES;ALUNOS VACINADOS;0;35;49;44;128
URG III-COMENDADOR SOARES;EMEI RODRIGO TWARDOWSKY ALVES;VACINAS APLICADAS;0;37;65;79;181
URG III-COMENDADOR SOARES;EMEI RODRIGO TWARDOWSKY ALVES;ENCAMINHAMENTOS;0;0;20;27;47
